"name","orig_name","state","county1","orig_county","established","discontinued","continuous","stamp_index","id","coordinates","duration","gnis_match","gnis_name","gnis_county","gnis_state","gnis_feature_id","gnis_feature_class","gnis_orig_name","gnis_orig_county","gnis_latitude","gnis_longitude","gnis_elev_in_m","gnis_dist","latitude","longitude","duration_category"
"ABERNATHY","ABERNATHY","MO","PERRY","Perry",1834,1873,FALSE,5,65,TRUE,39,TRUE,"ABERNATHY","PERRY","MO",713126,"School","Abernathy School (historical)","Perry",37.6658857,-89.7856602,171,1,37.6658857,-89.7856602,"1-50"
"ACKLEY STATION","ACKLEY STATION","PA","WARREN","Warren",1878,1904,TRUE,2,135,TRUE,26,TRUE,"ACKLEY STATION","WARREN","PA",1214604,"Post Office","Ackley Station Post Office (historical)","Warren",41.9647809,-79.1308791,378,1,41.9647809,-79.1308791,"1-50"
"ADA","ADA","AR","CONWAY","Conway",1880,1913,FALSE,4,188,TRUE,33,TRUE,"ADA","CONWAY","AR",57247,"Populated Place","Ada","Conway",35.1070303,-92.8735019,107,1,35.1070303,-92.8735019,"1-50"
"ADAMSVILLE","ADAMSVILLE","AL","JEFFERSON","Jefferson",1890,NA,TRUE,0,253,TRUE,150,TRUE,"ADAMSVILLE","JEFFERSON","AL",2788941,"Post Office","Adamsville Post Office","Jefferson",33.5884413,-86.9363196,200,1,33.5884413,-86.9363196,">=100"
"ADKINSON HEAD","ADKINSON HEAD","AL","BARBOUR","Barbour",1855,1874,TRUE,7,317,TRUE,19,TRUE,"ADKINSON HEAD","BARBOUR","AL",157921,"Populated Place","Adkinson Head","Barbour",31.7087753,-85.6104972,160,1,31.7087753,-85.6104972,"1-50"
"AGRICOLA","AGRICOLA","MS","GEORGE","George",1909,1964,TRUE,1,390,TRUE,55,TRUE,"AGRICOLA","GEORGE","MS",666164,"Populated Place","Agricola","George",30.807689,-88.5200194,67,1,30.807689,-88.5200194,"50-100"
"AKRIDGE","AKRIDGE","GA","GRADY","Grady",1894,1907,TRUE,5,454,TRUE,13,TRUE,"AKRIDGE","GRADY","GA",331006,"Populated Place","Akridge","Grady",30.9832438,-84.160456,86,1,30.9832438,-84.160456,"1-50"
"ALBANY","ALBANY","LA","CADDO","Caddo",1849,1866,FALSE,7,503,TRUE,17,TRUE,"ALBANY","CADDO","LA",552206,"Populated Place","Albany (historical)","Caddo",32.6126484,-93.8321246,66,1,32.6126484,-93.8321246,"1-50"
"ALBURGH","ALBURGH (1)","VT","GRAND ISLE","Grand Isle",1817,1869,TRUE,4,559,TRUE,52,TRUE,"ALBURGH","GRAND ISLE","VT",1918502,"Post Office","Alburgh Post Office","Grand Isle",44.9756837,-73.3009018,37,1,44.9756837,-73.3009018,"50-100"
"ALESVILLE","ALESVILLE","MS","LAFAYETTE","Lafayette",1889,1905,TRUE,5,612,TRUE,16,TRUE,"ALESVILLE","LAFAYETTE","MS",706718,"Populated Place","Alesville","Lafayette",34.3651065,-89.6042506,118,1,34.3651065,-89.6042506,"1-50"
"ALGOA","ALGOA","AR","JACKSON","Jackson",1910,1957,TRUE,1,673,TRUE,47,TRUE,"ALGOA","JACKSON","AR",57257,"Populated Place","Algoa","Jackson",35.505915,-91.1167899,68,1,35.505915,-91.1167899,"1-50"
"ALLEGHENY","ALLEGHENY","PA","POTTER","Potter",1833,1836,TRUE,7,731,TRUE,3,TRUE,"ALLEGHENY","POTTER","PA",1216968,"Civil","Allegheny Township","Potter",41.864839,-77.9043139,662,1,41.864839,-77.9043139,"1-50"
"ALLENTOWN","ALLENTOWN","TN","CARTER","Carter",1892,1900,TRUE,5,798,TRUE,8,TRUE,"ALLENTOWN","CARTER","TN",1649150,"Post Office","Allentown Post Office","Carter",36.2861704,-82.1653133,550,1,36.2861704,-82.1653133,"1-50"
"ALLSUP","ALLSUP","AL","CALHOUN","Calhoun",1879,1903,FALSE,4,866,TRUE,24,TRUE,"ALLSUP","CALHOUN","AL",159062,"Populated Place","Allsup","Calhoun",33.9412118,-85.7163532,209,1,33.9412118,-85.7163532,"1-50"
"ALPHARETTA","ALPHARETTA","GA","FULTON","Fulton",1858,NA,TRUE,0,934,TRUE,150,TRUE,"ALPHARETTA","FULTON","GA",2346075,"Post Office","Alpharetta Post Office","Fulton",34.0712175,-84.2895998,334,1,34.0712175,-84.2895998,">=100"
"ALTHEIM","ALTHEIM","MO","ST. LOUIS","St. Louis",1884,1904,FALSE,5,985,TRUE,20,TRUE,"ALTHEIM","ST. LOUIS","MO",755686,"Populated Place","Altheim","St. Louis",38.6314418,-90.4878983,204,1,38.6314418,-90.4878983,"1-50"
"ALVA","ALVA","FL","LEE","Lee",1884,NA,TRUE,0,1042,TRUE,150,TRUE,"ALVA","LEE","FL",2447531,"Post Office","Alva Post Office","Lee",26.7145121,-81.6104069,4,1,26.7145121,-81.6104069,">=100"
"AMELIA","AMELIA","LA","ST. MARY","Saint Mary",1880,NA,TRUE,0,1108,TRUE,150,TRUE,"AMELIA","ST. MARY","LA",1631658,"Post Office","Amelia Post Office","St. Mary",29.6615984,-91.1053784,1,1,29.6615984,-91.1053784,">=100"
"AMSTERDAM","AMSTERDAM","MO","BATES","Bates",1892,NA,TRUE,0,1171,TRUE,150,TRUE,"AMSTERDAM","BATES","MO",2779524,"Post Office","Amsterdam Post Office","Bates",38.3497419,-94.5878736,269,1,38.3497419,-94.5878736,">=100"
"ANDERSON","ANDERSON","NJ","WARREN","Warren",1821,1905,FALSE,3,1229,TRUE,84,TRUE,"ANDERSON","WARREN","NJ",874341,"Populated Place","Anderson","Warren",40.770655,-74.919058,141,1,40.770655,-74.919058,"50-100"
"ANGEL CITY","ANGEL CITY","FL","BREVARD","Brevard",1927,1932,TRUE,3,1295,TRUE,5,TRUE,"ANGEL CITY","BREVARD","FL",277877,"Populated Place","Angel City","Brevard",28.3444505,-80.660608,0,1,28.3444505,-80.660608,"1-50"
"ANON","ANON","GA","OGLETHORPE","Oglethorpe",1881,1901,TRUE,5,1367,TRUE,20,TRUE,"ANON","OGLETHORPE","GA",335721,"Populated Place","Anon (historical)","Oglethorpe",33.8684531,-82.9257005,146,1,33.8684531,-82.9257005,"1-50"
"ANTONIA","ANTONIA","LA","GRANT","Grant",1904,1914,TRUE,4,1428,TRUE,10,TRUE,"ANTONIA","GRANT","LA",546980,"Populated Place","Antonia","Grant",31.564342,-92.4093051,57,1,31.564342,-92.4093051,"1-50"
"APPLETON","APPLETON (2)","ME","KNOX","Knox",1866,1870,TRUE,7,1486,TRUE,4,TRUE,"APPLETON","KNOX","ME",561279,"Populated Place","Appleton","Knox",44.289243,-69.2508768,51,1,44.289243,-69.2508768,"1-50"
"ARCADIA","ARCADIA","MO","IRON","Iron",1871,NA,TRUE,0,1553,TRUE,150,TRUE,"ARCADIA","IRON","MO",748606,"Populated Place","Arcadia","Iron",37.5881058,-90.6290109,277,1,37.5881058,-90.6290109,">=100"
"ARDEN MINES","ARDEN MINES","PA","WASHINGTON","Washington",1913,1929,TRUE,3,1614,TRUE,16,TRUE,"ARDEN MINES","WASHINGTON","PA",1213083,"Populated Place","Arden Mines","Washington",40.2186819,-80.2645048,318,1,40.2186819,-80.2645048,"1-50"
"ARIEL","ARIEL","MS","AMITE","Amite",1888,1923,FALSE,3,1674,TRUE,35,TRUE,"ARIEL","AMITE","MS",666358,"Populated Place","Ariel","Amite",31.1007315,-90.9873252,111,1,31.1007315,-90.9873252,"1-50"
"ARLINGTON","ARLINGTON","NY","DUTCHESS","Dutchess",1882,1926,TRUE,1,1730,TRUE,44,TRUE,"ARLINGTON","DUTCHESS","NY",2599639,"Post Office","Arlington Post Office","Dutchess",41.6925655,-73.9010295,54,1,41.6925655,-73.9010295,"1-50"
"ARNOLD","ARNOLD","GA","FULTON","Fulton",1883,1903,TRUE,5,1793,TRUE,20,TRUE,"ARNOLD","FULTON","GA",331052,"Populated Place","Arnold","Fulton",34.1175977,-84.387982,297,1,34.1175977,-84.387982,"1-50"
"ARTEX","ARTEX","AR","MILLER","Miller",1918,1923,TRUE,5,1852,TRUE,5,TRUE,"ARTEX","MILLER","AR",76200,"Populated Place","Artex","Miller",33.3876251,-93.8321262,84,1,33.3876251,-93.8321262,"1-50"
"ASHBURN","ASHBURN","TN","ROBERTSON","Robertson",1892,1907,TRUE,5,1922,TRUE,15,TRUE,"ASHBURN","ROBERTSON","TN",1275936,"Populated Place","Ashburn","Robertson",36.6211544,-86.8286084,194,1,36.6211544,-86.8286084,"1-50"
